ID,books_count,original_publication_year,language_code,average_rating,cluster,authors,title,PCA1,PCA2
0,272,280,4,4.34,2,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",160.9766714,50.12313182
1,491,269,4,4.44,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",379.6594473,66.24028253
2,226,277,3,3.57,2,Stephenie Meyer,"Twilight (Twilight, #1)",115.6997569,41.4739222
3,487,232,4,4.25,2,Harper Lee,To Kill a Mockingbird,380.2575078,29.03015778
4,1356,197,4,3.89,1,F. Scott Fitzgerald,The Great Gatsby,1246.931222,101.5658845
5,969,209,3,4.25,4,J.R.R. Tolkien,The Hobbit,861.4108051,65.70919086
6,360,223,4,3.79,2,J.D. Salinger,The Catcher in the Rye,255.3399583,4.422647045
7,311,272,1,3.85,2,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",200.6684658,47.0159153
8,3455,99,4,4.24,3,Jane Austen,Pride and Prejudice,3341.973755,263.4127282
9,283,275,4,4.26,2,Khaled Hosseini,The Kite Runner,172.5097636,46.51928678
10,995,221,4,4.14,4,"George Orwell, Erich Fromm, Celal üster",1984,885.7297766,80.82086038
11,896,217,4,3.87,4,George Orwell,Animal Farm,787.9808185,64.63124203
12,710,219,4,4.1,4,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,603.1566001,43.65644357
13,376,271,4,4.53,2,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",265.2921713,54.02959421
14,566,226,4,4.34,4,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",459.3939052,32.82770559
15,307,275,4,4.46,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",196.3261723,49.48174821
16,183,274,4,3.77,0,Alice Sebold,The Lovely Bones,73.39814083,33.18328602
17,398,270,4,4.37,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",287.247355,55.75292419
18,332,272,4,4.53,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",221.5052775,49.59066943
19,263,279,4,4.61,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",152.1689312,48.01979695
20,350,275,4,3.79,2,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",238.9973315,54.78971894
21,275,277,4,4.54,2,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",164.3240401,47.51639412
22,458,226,4,3.64,2,William Golding,Lord of the Flies,352.2200481,19.49658494
23,1937,51,4,3.73,1,"William Shakespeare, Robert           Jackson",Romeo and Juliet,1841.510139,28.40225193
24,373,209,4,3.84,2,John Steinbeck,Of Mice and Men,269.9687417,-7.865371325
25,220,269,4,4.08,2,Arthur Golden,Memoirs of a Geisha,110.7323266,32.78873588
26,458,260,4,3.82,2,"Paulo Coelho, Alan R. Clarke",The Alchemist,348.0229177,53.23595427
27,192,265,4,4.12,0,Lois Lowry,"The Giver (The Giver, #1)",83.44026976,25.36312821
28,474,222,4,4.19,2,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",368.591394,17.50212486
29,167,275,4,3.95,0,Audrey Niffenegger,The Time Traveler's Wife,57.39706197,32.20057803
30,101,268,4,4.45,0,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",-7.234045844,17.10722804
31,185,278,4,3.51,0,Elizabeth Gilbert,"Eat, Pray, Love",74.88908866,37.39956122
32,159,277,4,4.23,0,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",49.21133841,33.19768538
33,1707,143,3,4.04,1,Louisa May Alcott,"Little Women (Little Women, #1)",1601.91329,91.31213871
34,2568,123,4,4.1,3,"Charlotte Bront?, Michael Mason",Jane Eyre,2458.795656,177.7395415
35,190,268,4,4.06,0,Nicholas Sparks,"The Notebook (The Notebook, #1)",81.0852394,28.09327269
36,264,273,16,3.88,2,Yann Martel,Life of Pi,153.8920166,42.12023075
37,128,278,4,4.07,0,Sara Gruen,Water for Elephants,18.32502375,30.36348652
38,251,277,4,4.36,2,Markus Zusak,The Book Thief,140.5076296,44.55392827
39,507,225,14,3.97,2,Ray Bradbury,Fahrenheit 451,400.9603345,24.49499883
40,194,278,4,3.52,0,Stephenie Meyer,"New Moon (Twilight, #2)",83.82024783,38.51049863
41,45,246,4,4.29,0,Shel Silverstein,Where the Sidewalk Ends,-60.08991432,-11.63663213
42,178,279,4,4.12,0,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",67.81913066,37.52769779
43,185,279,3,3.69,0,Stephenie Meyer,"Eclipse (Twilight, #3)",74.76646101,38.39761965
